ad_url;price;size_room;size_wg;area;street_address;full_address;lat_lng
"<a href=""/wg-zimmer-in-Berlin-Steglitz.5794178.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2017/26/f899080a57941780_20170108_155852_resized.small.jpg);""></a>";370;17.0;3;Steglitz;birkbuschstr7;birkbuschstr7 Steglitz Berlin;(52.4524189, 13.3200077)
"<a href=""/wg-zimmer-in-Berlin-Prenzlauer-Berg.1513311.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/dabd445c9d6d0d1278e0713ea96ecf1f9998e8c5adcd097d4ed1a6e344be4c5a_20201123_145934.small.jpg);""></a>";620;20.0;3;PrenzlauerBerg;Wichert/Helmholtzplatz;Wichert/Helmholtzplatz PrenzlauerBerg Berlin;(52.54300199999999, 13.418905)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.6227614.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/3ee1bc343eb6bf8acb69d0d9117e91037ad228c1ed11943c75d7bc3e1868460c_IMG_0632.small.JPG);""></a>";320;12.0;4;Kreuzberg;WienerStrasse69;WienerStrasse69 Kreuzberg Berlin;(52.4990007, 13.4282932)
"<a href=""/wg-zimmer-in-Berlin-Charlottenburg.3885256.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2014/31/99edfd0838852560_bregenzfoto1.sized.jpg);""></a>";545;13.0;3;Charlottenburg;OlivaerPlatz;OlivaerPlatz Charlottenburg Berlin;(52.4996492, 13.3141785)
"<a href=""/wg-zimmer-in-Berlin-Mitte.8381669.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/46/015c949630454a96da165bf620e03e6925b235031615c402a2dc6f80bfc0d4d0_WG_30.small.jpg);""></a>";600;15.0;3;Mitte;U-BhfMaerkischesMuseum;U-BhfMaerkischesMuseum Mitte Berlin;(52.5126667, 13.4111698)
"<a href=""/wg-zimmer-in-Berlin-Treptow.8398213.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/258d2cea04689527ca75dadd8941e483a3428b52f806c05cd5d8d9f838da68f9_52A29751_1EB5_499A_9AE2_AC897EF1B8ED.small.jpeg);""></a>";420;11.0;3;Treptow;Platanenweg;Platanenweg Treptow Berlin;(52.353896, 4.9139078)
"<a href=""/wg-zimmer-in-Berlin-Neukoelln.7263834.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2019/16/083e3489746dce3ade557f456be32c09072ba93d862d0e58e6fd1bc9eb3ad452_zimmer1.small.jpg);""></a>";520;24.0;2;Neukoelln;Jonasstr.22;Jonasstr.22 Neukoelln Berlin;(52.4715461, 13.4337278)
"<a href=""/wg-zimmer-in-Berlin-Kreuzberg.6466649.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2017/50/fd5beecd64666490_16_m2_172_sq_ft_room_1.small.jpg);""></a>";580;16.0;3;Kreuzberg;CheckpointCharlie;CheckpointCharlie Kreuzberg Berlin;(52.5074434, 13.3903913)
"<a href=""/wg-zimmer-in-Berlin-Neukoelln.8353216.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/43/5f98147426fdfc2199ad95ab30459808637babeffc0fd85c25bb83f2b8e99ffa_116439063_291899565243056_25082408737344741_n.small.jpg);""></a>";550;24.0;3;Neukoelln;Sonnenallee;Sonnenallee Neukoelln Berlin;(52.4797236, 13.4446323)
"<a href=""/wg-zimmer-in-Berlin-Neukoelln.8389805.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/46/4acbba15ae4ca7383032f519a74792a8eead258aeb5727dbc29a33b3702c31dd_IMG_0455.small.JPG);""></a>";450;16.0;2;Neukoelln;Boddinstrasse;Boddinstrasse Neukoelln Berlin;(52.48066559999999, 13.424891)
"<a href=""/wg-zimmer-in-Berlin-an-der-U5.5958354.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/46/f3f47fff78d22acef3b7c938d962a09068865bcdc6e657f465df7a7aa39dbb11_IMG_0681_min.small.jpeg);""></a>";420;16.0;3;anderU5;Hellersdorferstr.93;Hellersdorferstr.93 anderU5 Berlin;(52.525443, 13.5874459)
"<a href=""/wg-zimmer-in-Berlin-Dahlem.8296842.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/39/f3d4fdeec73233874f4f23093202255b93a050c0ff1cbfb66f2c2fb65fd3c0aa_haus_gartensicht.small.jpg);""></a>";200;8.0;7;Dahlem;Podbielskiallee,15;Podbielskiallee,15 Dahlem Berlin;(52.4680712, 13.2918561)
"<a href=""/wg-zimmer-in-Berlin-Charlottenburg.8398196.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/47/6f76b262cefe6a115b0aac1f96cb9fe6e75acec2958c630dda7a86be0a61bf88_E5CDEA1A_9AB5_4B2D_94D4_28A7019B24E5.small.jpeg);""></a>";700;30.0;3;Charlottenburg;Leonhardtstrasse;Leonhardtstrasse Charlottenburg Berlin;(52.5049552, 13.2981054)
"<a href=""/wg-zimmer-in-Berlin-Mitte.5050043.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2020/41/0200d91bbde4267ce64cbf08cd11c192a82dc07f491647aa573cdff552926e2b_0F5AB221_15B3_4B0F_819A_BC603A83ADC8.small.jpeg);""></a>";700;20.0;2;Mitte;NaeheHackescherMarkt;NaeheHackescherMarkt Mitte Berlin;(52.5232105, 13.4011666)
"<a href=""/wg-zimmer-in-Berlin-Mitte.3414335.html"" style=""background-image: url(https://img.wg-gesucht.de/media/up/2015/52/79051e3b34143350_zimmer_5.small.jpg);""></a>";470;11.0;2;Mitte;NaeheEngelbecken;NaeheEngelbecken Mitte Berlin;(52.5084793, 13.2939072)
